Id,SalePrice
1461,122157.35036090743
1462,158530.9424684349
1463,181728.94350524314
1464,181274.80818514427
1465,194815.37626988962
1466,179053.5617926907
1467,171314.86224595248
1468,176963.5054810134
1469,181566.03367967953
1470,134592.5235871651
1471,197550.8518336059
1472,100932.30788718058
1473,97732.69896792699
1474,151977.42068721852
1475,110013.22511284609
1476,334861.1612442009
1477,252110.03787950837
1478,287993.61743864487
1479,281937.01738291996
1480,502120.880449388
1481,336258.6705118992
1482,206798.63414951105
1483,183484.51315471937
1484,155856.9529380103
1485,172332.9880029056
1486,199059.56343545197
1487,324307.05140767613
1488,250750.85638088253
1489,189509.2952092568
1490,192181.4210634473
1491,185417.99237432412
1492,104012.2637366458
1493,175795.8547636843
1494,317979.3922058749
1495,324829.1489237853
1496,226952.2172942045
1497,194504.23221440107
1498,155168.39153870937
1499,151539.6965233309
1500,160183.25260586487
1501,172720.10643591252
1502,122173.08447433123
1503,276190.6198514224
1504,231171.23878673234
1505,221049.33439371412
1506,220154.07191831036
1507,263273.669897038
1508,219325.7211835962
1509,170271.57957281746
1510,159458.1319806184
1511,154366.53628004252
1512,182507.57574907044
1513,160673.88053954885
1514,152722.48389082725
1515,188755.07709512245
1516,154508.91859851577
1517,147237.2419401752
1518,131216.751229136
1519,212890.39232339457
1520,140465.52391817205
1521,142178.2033939921
1522,164775.08904118044
1523,121589.47375573087
1524,125392.5977243752
1525,128477.19555605245
1526,132113.51945098443
1527,100895.31252686362
1528,128395.69826553408
1529,143779.72571064773
1530,170299.47029752235
1531,137782.2888531665
1532,103850.0726063601
1533,158710.23213882602
1534,117312.8450152368
1535,153418.30439550432
1536,118533.90325335586
1537,91414.99301406891
1538,140085.06495059034
1539,183410.70970864335
1540,114629.59132082004
1541,148627.9050280437
1542,147440.0628297956
1543,211866.88550564807
1544,87549.5118100466
1545,112310.46018532498
1546,145742.01316919748
1547,129223.91621307979
1548,127774.99760147012
1549,106367.69335335298
1550,148390.47932850796
1551,120705.37353587853
1552,157141.6142402583
1553,131723.4707014883
1554,91218.21980407338
1555,179046.15822998784
1556,99932.02139315158
1557,149132.10840815562
1558,87045.12635739119
1559,150526.33281595918
1560,167592.08823828914
1561,182303.23455680045
1562,123898.59015180373
1563,126004.45546515418
1564,156448.94133027803
1565,150417.09561615897
1566,183475.88075188894
1567,87792.9091505868
1568,225738.10446825207
1569,164496.93476311257
1570,123256.22425304876
1571,110513.93282774686
1572,140738.21751909098
1573,221606.71390844177
1574,142946.07554256028
1575,200749.40767581214
1576,219237.83713825047
1577,180314.88456998247
1578,153372.1118148431
1579,142576.34545123327
1580,188982.7979475515
1581,128621.87770097062
1582,131017.38994271544
1583,361907.38877946924
1584,234103.1094589707
1585,140924.3061344432
1586,77928.66505996413
1587,100598.39337670594
1588,139995.6801475049
1589,116686.95105213797
1590,127197.71803308147
1591,99749.10238700527
1592,129134.1553337303
1593,122727.22396039819
1594,150741.1833045206
1595,138119.754734459
1596,244839.78770301753
1597,147877.3956745006
1598,169214.6589645084
1599,141096.98175244703
1600,156634.64418208442
1601,66207.64810248934
1602,116015.1014663403
1603,97828.35364985133
1604,274215.532636789
1605,252828.94348218737
1606,176151.8651061512
1607,205923.60359192238
1608,201515.4511215756
1609,174728.95749476747
1610,155975.6099579892
1611,153862.16960208802
1612,166514.84418369323
1613,169239.68771497026
1614,121690.41260025029
1615,80600.74069303887
1616,74803.46954038889
1617,89248.18531532222
1618,122840.7972158428
1619,130208.35686975715
1620,187152.00682261205
1621,137276.82250909912
1622,139617.35131257362
1623,289744.1906066019
1624,207205.89763808638
1625,125085.926228043
1626,171717.63669354623
1627,185007.82000428683
1628,264269.651703561
1629,174740.0829324782
1630,297273.49031573546
1631,215450.20347022696
1632,246727.79267606224
1633,171264.26783460987
1634,184104.82050771397
1635,182189.22640989776
1636,156849.92265543892
1637,188075.37682898442
1638,202409.19028066838
1639,191356.5895455489
1640,260584.75459038228
1641,174846.48884450732
1642,223438.8911561023
1643,224425.71959790174
1644,223169.6087958435
1645,194205.73633017487
1646,159588.05466620525
1647,155556.70918021668
1648,149806.46655798642
1649,135181.2084601466
1650,134567.77872590293
1651,117924.32041438951
1652,94571.16956801919
1653,96598.82343560059
1654,154753.28782624096
1655,147303.45049282283
1656,155971.79402099893
1657,153424.09902550827
1658,149524.61266489472
1659,123332.48523515808
1660,144166.23817948846
1661,459195.46454570076
1662,344438.2124120926
1663,378267.51637913927
1664,434292.7810193717
1665,303184.20581273944
1666,344563.4898140981
1667,367620.1733924906
